ISOCode,Year,EnergyTypeID,ElectricityGenerationTWH,ElectricityGenerationPerPerson,ShareOfElectricityGenerated
ALB,2019,1,0.0,0.0,0.0
ALB,2019,2,0.0,0.0,0.0
ALB,2019,3,0.0,0.0,0.0
ALB,2019,4,0.0,0.0,0.0
ALB,2019,5,5.15,1.792000579007566e-06,99.61315
ALB,2019,6,0.02,6.959225549543944e-09,0.3868472
ALB,2019,7,0.0,0.0,0.0
ALB,2020,1,0.0,0.0,0.0
ALB,2020,2,0.0,0.0,0.0
ALB,2020,3,0.0,0.0,0.0
ALB,2020,4,0.0,0.0,0.0
ALB,2020,5,5.28,1.8417426792472576e-06,99.43503
ALB,2020,6,0.03,1.0464447041177599e-08,0.56497175
ALB,2020,7,0.0,0.0,0.0
ALB,2021,1,0.0,0.0,0.0
ALB,2021,2,0.0,0.0,0.0
ALB,2021,3,0.0,0.0,0.0
ALB,2021,4,0.0,0.0,0.0
ALB,2021,5,8.89,3.114151700172697e-06,99.21876
ALB,2021,6,0.07,2.4520879528918877e-08,0.78125
ALB,2021,7,0.0,0.0,0.0
DZA,2000,1,0.0,0.0,0.0
DZA,2000,2,0.73,2.3720842210777294e-08,3.055672
DZA,2000,3,23.11,7.509433746452921e-07,96.73504
DZA,2000,4,0.0,0.0,0.0
DZA,2000,5,0.05,1.624715219916253e-09,0.20929259
DZA,2000,6,0.0,0.0,0.0
DZA,2000,7,0.0,0.0,0.0
DZA,2001,1,0.0,0.0,0.0
DZA,2001,2,0.73,2.3396698001575846e-08,2.9165
DZA,2001,3,24.23,7.765780720249079e-07,96.80383
DZA,2001,4,0.0,0.0,0.0
DZA,2001,5,0.07,2.2435189864524787e-09,0.2796644
DZA,2001,6,0.0,0.0,0.0
DZA,2001,7,0.0,0.0,0.0
DZA,2002,1,0.0,0.0,0.0
DZA,2002,2,0.56,1.7707677859394717e-08,2.154675
DZA,2002,3,25.37,8.022210487372213e-07,97.61447
DZA,2002,4,0.0,0.0,0.0
DZA,2002,5,0.06,1.8972511992208623e-09,0.23085803
DZA,2002,6,0.0,0.0,0.0
DZA,2002,7,0.0,0.0,0.0
DZA,2003,1,0.0,0.0,0.0
DZA,2003,2,0.65,2.027708986450599e-08,2.3372889
DZA,2003,3,26.9,8.391595651618632e-07,96.7278
DZA,2003,4,0.0,0.0,0.0
DZA,2003,5,0.26,8.110835945802396e-09,0.93491554
DZA,2003,6,0.0,0.0,0.0
DZA,2003,7,0.0,0.0,0.0
DZA,2004,1,0.0,0.0,0.0
DZA,2004,2,0.65,1.9993734886274407e-08,2.2116365
DZA,2004,3,28.49,8.763407798614735e-07,96.93774
DZA,2004,4,0.0,0.0,0.0
DZA,2004,5,0.25,7.689898033182463e-09,0.8506295
DZA,2004,6,0.0,0.0,0.0
DZA,2004,7,0.0,0.0,0.0
DZA,2005,1,0.0,0.0,0.0
DZA,2005,2,0.7,2.1239997099223252e-08,2.1936698
DZA,2005,3,30.66,9.303118729459785e-07,96.08273
DZA,2005,4,0.0,0.0,0.0
DZA,2005,5,0.55,1.6688569149389702e-08,1.7235976
DZA,2005,6,0.0,0.0,0.0
DZA,2005,7,0.0,0.0,0.0
DZA,2006,1,0.0,0.0,0.0
DZA,2006,2,0.71,2.1235180461049862e-08,2.1430726
DZA,2006,3,32.2,9.630602969659235e-07,97.19287
DZA,2006,4,0.0,0.0,0.0
DZA,2006,5,0.22,6.579915072437986e-09,0.6640507
DZA,2006,6,0.0,0.0,0.0
DZA,2006,7,0.0,0.0,0.0
DZA,2007,1,0.0,0.0,0.0
DZA,2007,2,0.75,2.2069315541659274e-08,2.1440823
DZA,2007,3,34.01,1.0007698954291092e-06,97.22698
DZA,2007,4,0.0,0.0,0.0
DZA,2007,5,0.22,6.4736658922200545e-09,0.6289308
DZA,2007,6,0.0,0.0,0.0
DZA,2007,7,0.0,0.0,0.0
DZA,2008,1,0.0,0.0,0.0
