ISOCode,Year,AnnualGasemissions
TLS,1878,899876.06
TLS,1879,1284081.5
TLS,1880,1054747.6
TLS,1881,983805.1
TLS,1882,961554.6
TLS,1883,1349446.2
TLS,1884,1099116.1
TLS,1885,1020190.2
TLS,1886,1235111.0
TLS,1887,1072760.2
TLS,1888,1025473.7
TLS,1889,1011560.5
TLS,1890,1460748.9
TLS,1891,1497596.9
TLS,1892,1240728.6
TLS,1893,1157226.5
TLS,1894,1130803.9
TLS,1895,1382616.6
TLS,1896,1527994.1
TLS,1897,1286303.4
TLS,1898,1205247.9
TLS,1899,1179154.8
TLS,1900,1184216.8
TLS,1901,1467885.8
TLS,1902,1288134.6
TLS,1903,1237946.8
TLS,1904,1564447.6
TLS,1905,1347901.1
TLS,1906,1272987.5
TLS,1907,1253005.5
TLS,1908,1545156.2
TLS,1909,1347281.4
TLS,1910,1290151.9
TLS,1911,1268377.4
TLS,1912,1260791.2
TLS,1913,1260248.6
TLS,1914,1260800.8
TLS,1915,1258892.4
TLS,1916,1265185.0
TLS,1917,1594928.4
TLS,1918,1386861.9
TLS,1919,1326091.5
TLS,1920,1323239.1
TLS,1921,1333588.5
TLS,1922,1349280.4
TLS,1923,1369105.1
TLS,1924,1383936.1
TLS,1925,1411385.9
TLS,1926,1874835.1
TLS,1927,1621801.5
TLS,1928,2007687.4
TLS,1929,1710472.6
TLS,1930,1652829.5
TLS,1931,1650408.2
TLS,1932,1662005.4
TLS,1933,1678771.5
TLS,1934,1698726.9
TLS,1935,1718433.8
TLS,1936,1738791.0
TLS,1937,1764506.2
TLS,1938,1785290.0
TLS,1939,1812544.0
TLS,1940,1803820.6
TLS,1941,1812544.8
TLS,1942,1821837.2
TLS,1943,1846154.8
TLS,1944,1867809.0
TLS,1945,1892109.5
TLS,1946,1915319.0
TLS,1947,1936923.4
TLS,1948,1956174.1
TLS,1949,1642537.8
TLS,1950,1506332.8
TLS,1951,1455787.5
TLS,1952,1447674.1
TLS,1953,1994483.5
TLS,1954,1726572.2
TLS,1955,1688081.8
TLS,1956,1759838.8
TLS,1957,2325485.0
TLS,1958,2091229.2
TLS,1959,-411146.12
TLS,1960,-896878.9
TLS,1961,-459919.72
TLS,1962,-97072.72
TLS,1963,214594.3
